,INDP,count_target,count_deidentified
6,4670,75,70
34,4680,5,9
0,4690,36,35
2,4770,42,36
16,4780,5,3
17,4795,49,46
10,4870,59,62
8,4880,26,18
20,4890,28,27
7,4971,189,153
30,4972,31,22
26,4980,22,19
29,4990,9,11
5,5070,66,80
25,5080,38,45
31,5090,50,48
4,5170,124,94
27,5180,15,36
24,5190,16,38
18,5275,57,55
19,5280,5,8
23,5295,5,12
14,5370,17,26
12,5381,44,45
3,5391,154,140
28,5470,14,18
21,5480,14,7
13,5490,21,33
1,5570,15,42
15,5580,32,43
22,5593,52,38
32,5670,4,11
33,5680,8,4
9,5690,13,19
11,5790,41,26
