,INDP,count_target,count_deidentified
6,4670,75,65
34,4680,5,8
0,4690,36,22
2,4770,42,40
16,4780,5,2
17,4795,49,53
10,4870,59,87
8,4880,26,30
20,4890,28,25
7,4971,189,197
30,4972,31,24
26,4980,22,23
29,4990,9,15
5,5070,66,71
25,5080,38,37
31,5090,50,42
4,5170,124,149
27,5180,15,11
24,5190,16,16
18,5275,57,34
19,5280,5,4
23,5295,5,2
14,5370,17,11
12,5381,44,81
3,5391,154,87
28,5470,14,6
21,5480,14,15
13,5490,21,29
1,5570,15,20
15,5580,32,55
22,5593,52,41
32,5670,4,6
33,5680,8,9
9,5690,13,10
11,5790,41,48
